rule_id,level,target_class,feature_group,feature_columns,transform,criterion_type,criterion_expression,evidence_direction,evidence_strength,likelihood_method,threshold,threshold_origin,reference,reference_section,catalog,quality_columns,missing_policy,conflict_group,notes
AST-EXT-001,primary,EXTRAGALACTIC,astrometry,parallax|parallax_error,normalized_corrected_parallax,threshold,"abs((parallax+0.017)/parallax_error) < 5",support,moderate,binary_evidence,5,LITERATURE,Gaia-CRF3,,Gaia DR3,parallax_error,ignore,galactic_origin,"Astrometric consistency only; does not distinguish QSO from galaxy"
AST-EXT-002,primary,EXTRAGALACTIC,astrometry,pmra|pmra_error|pmdec|pmdec_error,proper_motion_significance,threshold,"sqrt((pmra/pmra_error)^2+(pmdec/pmdec_error)^2) < 5",support,moderate,binary_evidence,5,LITERATURE,Gaia-CRF3,,Gaia DR3,pmra_error|pmdec_error,ignore,galactic_origin,"Approximation when covariance is unavailable; exact Gaia-CRF3 rule uses covariance"
AST-GAL-001,primary,STAR,astrometry,parallax|parallax_error,parallax_snr,continuous,"abs(parallax/parallax_error)",support,moderate,continuous_score,,PHYSICAL,Gaia astrometry,,Gaia DR3,parallax_error,ignore,galactic_origin,"Significant parallax supports Galactic origin; calibration deferred"
AST-GAL-002,primary,STAR,astrometry,pmra|pmra_error|pmdec|pmdec_error,proper_motion_significance,continuous,"sqrt((pmra/pmra_error)^2+(pmdec/pmdec_error)^2)",support,moderate,continuous_score,,PHYSICAL,Gaia astrometry,,Gaia DR3,pmra_error|pmdec_error,ignore,galactic_origin,"Significant proper motion supports Galactic origin; calibration deferred"
SPC-SDSS-001,primary,STAR,spectrum,class|zwarning,identity,categorical,"upper(class) == 'STAR'",support,strong,catalog_label,,CATALOG,SDSS spectroscopy,,SDSS DR18,zwarning,ignore,spectral_class,"Keep quality flag separately"
SPC-SDSS-002,primary,GALAXY,spectrum,class|zwarning,identity,categorical,"upper(class) == 'GALAXY'",support,strong,catalog_label,,CATALOG,SDSS spectroscopy,,SDSS DR18,zwarning,ignore,spectral_class,"Keep quality flag separately"
SPC-SDSS-003,primary,QSO,spectrum,class|zwarning,identity,categorical,"upper(class) in {'QSO','QUASAR'}",support,strong,catalog_label,,CATALOG,SDSS spectroscopy,,SDSS DR18,zwarning,ignore,spectral_class,"Keep quality flag separately"
DSC-001,primary,MULTICLASS,catalog_classifier,classprob_dsc_combmod_quasar|classprob_dsc_combmod_galaxy|classprob_dsc_combmod_star|classprob_dsc_combmod_whitedwarf|classprob_dsc_combmod_binarystar,identity,probability_vector,provided,probability,direct_probability,,CATALOG,Gaia DR3 DSC,,Gaia DR3,,ignore,dsc_class,"Use catalog posterior directly when available"
VAR-001,secondary,VARIABLE_SUBTYPE,variability,best_class_name|best_class_score,identity,catalog_score,provided,probability,direct_score,,CATALOG,Gaia DR3 variability,,Gaia DR3,,ignore,variability_class,"Score is preserved as classifier evidence; do not assume cross-class calibration"

PS1-MORPH-001,primary,GALAXY,morphology,ps1_i_psf_minus_kron|iMeanPSFMag|ps1_i_photometry_valid,identity,threshold,"ps1_i_psf_minus_kron > 0.05 and 14 <= iMeanPSFMag <= 21 and ps1_i_photometry_valid == 1",support,moderate,binary_evidence,0.05,LITERATURE,Tachibana & Miller 2018 Sec. 4.1 / PS1 Public Archive,Section 4.1 baseline PS1 model; archive PSF-Kron guidance,Pan-STARRS1 DR2 MeanObject,ps1_i_photometry_valid,ignore,ps1_morphology,"Extended-source evidence only; point-like morphology is not STAR-specific because QSOs are unresolved. Simple cut becomes unreliable faintward of i~21 and saturation can move bright stars to galaxy side."
PS1-MORPH-002,primary,STAR,morphology,ps1_i_psf_minus_kron|iMeanPSFMag|ps1_i_photometry_valid,identity,threshold,"ps1_i_psf_minus_kron <= 0.05 and 14 <= iMeanPSFMag <= 21 and ps1_i_photometry_valid == 1",support,weak,binary_evidence,0.05,LITERATURE,Tachibana & Miller 2018 Sec. 4.1 / PS1 Public Archive,Section 4.1 baseline PS1 model; archive PSF-Kron guidance,Pan-STARRS1 DR2 MeanObject,ps1_i_photometry_valid,ignore,ps1_morphology,"Weak STAR support only: unresolved morphology also includes QSOs. Magnitude guard follows documented saturation/faint-end caveats; do not treat as a pure stellar classifier."
