catalog,index_column,quality_basis,model,source,notes
Gaia DR3,catalog_confidence_gaia_astrometry,RUWE,"min(1,1.4/RUWE) for RUWE>0",Gaia DR3 documentation Sec. 7.1.2 / DR2 RUWE documentation,"1.4 is a documented warning scale; continuous penalty above it is PROJECT_MODEL, not a probability"
Gaia DR3,catalog_confidence_gaia_dsc,DSC vector availability,"1 if all Combmod probabilities are present",Delchambre et al. 2023 / Gaia DR3 DSC documentation,"DSC probabilities themselves carry class uncertainty; known purity/prior/calibration caveats remain"
Pan-STARRS1 DR2 MeanObject,catalog_confidence_ps1_morphology,PSF/Kron uncertainty and magnitude regime,"z=abs((PSF-Kron)-0.05)/sqrt(sig_PSF^2+sig_Kron^2); q=z/(z+1), only 14<=i<=21",Tachibana & Miller 2018 / STScI PS1 archive,"Error propagation is standard; z/(z+1) mapping is PROJECT_MODEL"
AllWISE,catalog_confidence_allwise,W1/W2 SNR artifact and blend quality,"min(1,min(SNR1,SNR2)/10), zeroed when nb>2 or W1/W2 artifact flag is nonzero",Stern et al. 2012 / AllWISE Explanatory Supplement,"Matches quality envelope of the cited AGN selection"
2MASS PSC,catalog_confidence_2mass,ph_qual and cc_flg,"mean band grade A=1 B=.7 C=.5 D=.25; halve when cc_flg!=000",2MASS All-Sky Explanatory Supplement,"Grade ordering/thresholds are catalog-defined; numeric grade mapping and contamination penalty are PROJECT_MODEL and require calibration"
GALEX AIS,catalog_confidence_galex,magnitude uncertainty and artifact flags,"SNR~1.0857/sigma_mag; per-band min(1,SNR/5), artifact-flagged band=0; mean available bands",Bianchi et al. 2017 GUVcat_AIS / VizieR II/335,"SNR conversion follows magnitude-error propagation; normalization at 5 sigma is PROJECT_MODEL"
SDSS DR18 spectroscopy,catalog_confidence_sdss_spectroscopy,ZWARNING,"1 when ZWARNING=0; 0.5 for nonzero warning",SDSS spectroscopic pipeline documentation,"Nonzero penalty is PROJECT_MODEL; warning bits should be inspected for precision work"
SDSS DR18 PhotoObj,catalog_confidence_sdss_photometry,clean flag,"1 when clean=1 else 0",SDSS clean-photometry guidance,"Used only with morphology type rules"
NED,catalog_confidence_ned_type,preferred physical object type,"0.8 for explicitly mapped physical types",NASA/IPAC NED documentation,"PROVENANCE confidence rather than homogeneous measurement precision; 0.8 is PROJECT_MODEL"
SIMBAD,catalog_confidence_simbad_type,hierarchical main physical object type,"0.8 for explicitly mapped physical types",SIMBAD object-type documentation / Oberto et al. 2018,"PROVENANCE confidence rather than homogeneous measurement precision; 0.8 is PROJECT_MODEL"
NVSS,catalog_confidence_nvss,flux/position uncertainties,"reserved: use catalog flux SNR and quoted positional errors when a source is present",Condon et al. 1998,"No primary-class rule added: radio detection alone is not uniquely STAR/GALAXY/QSO"
